1,adm01.lsst.ncsa.edu,ncsa,npcf,default,adm,production
2,lsst-monitor01.ncsa.illinois.edu,ncsa,npcf,default,monitor,production
3,lsst-backup01.ncsa.illinois.edu,ncsa,npcf,backup,backup_server,production
4,lsst-test09.ncsa.illinois.edu,ncsa,npcf,default,default,test
5,lsst-test10.ncsa.illinois.edu,ncsa,npcf,backup,backup_worker,production
6,lsst-bastion01.ncsa.illinois.edu,ncsa,npcf,default,bastion,production
8,lsst-repos01.ncsa.illinois.edu,ncsa,npcf,default,pakrat_yum_server,production
9,lsst-oradb01.ncsa.illinois.edu,ncsa,npcf,oraclerac,default,production
10,lsst-oradb02.ncsa.illinois.edu,ncsa,npcf,oraclerac,default,production
11,lsst-oradb03.ncsa.illinois.edu,ncsa,npcf,oraclerac,default,production
12,lsst-oradb04.ncsa.illinois.edu,ncsa,npcf,oraclerac,default,production
13,lsst-oradb05.ncsa.illinois.edu,ncsa,npcf,oraclerac,default,production
14,lsst-oradb06.ncsa.illinois.edu,ncsa,npcf,oraclerac,default,production
15,lsst-verify-worker01.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
16,lsst-verify-worker02.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
17,lsst-verify-worker03.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
18,lsst-verify-worker04.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
19,lsst-verify-worker05.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
20,lsst-verify-worker06.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
21,lsst-verify-worker07.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
22,lsst-verify-worker08.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
23,lsst-verify-worker09.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
24,lsst-verify-worker10.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
25,lsst-verify-worker11.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
26,lsst-verify-worker12.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
27,lsst-verify-worker13.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
28,lsst-verify-worker14.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
29,lsst-verify-worker15.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
30,lsst-verify-worker16.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
31,lsst-verify-worker17.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
32,lsst-verify-worker18.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
33,lsst-verify-worker19.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
34,lsst-verify-worker20.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
35,lsst-verify-worker21.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
36,lsst-verify-worker22.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
37,lsst-verify-worker23.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
38,lsst-verify-worker24.ncsa.illinois.edu,ncsa,npcf,verify,verify_worker,production
